Group_Num	GROUP_NAME
00F7005	GORDON'S ELECTRIC & HEATING
00F7006	GORDON'S ELECTRIC & HEATING
00F7010	ASN3BFBX167S ADP TOTALSOURCE
00F7395	STRAUSS EXCAVATING INC.
00F7625	ANIMAL POLICY GROUP
00F7629	TENTAMUS NORTH AMERICA INC.
00F7637	TENTAMUS NORTH AMERICA INC.
00F7651	TENTAMUS NORTH AMERICA INC.
00F7658	NOVEMBER INC.
00F7793	CASCACDE SURGICAL ONCOLOGY PC
00F7885	ROBERTS STREET CLINC P.C.
00F7911	UEA-LGINTERNATIONAL, INC.
00F8031	6389AXEFIL112 EMPOWER HR
00F8495	BITCLAVE, LLC.
00F8681	AGORAPULSE
00F9356	FORECASTERA INC
00F9376	GODO, LLC
00F9389	BNTOUCH INC
00F9492	ALL AMERICAN AQUATICS
00F9569	BEGGS CONSTRUCSTION, INC.
00F9583	AFERNOON INC.
00F9584	AFERNOON INC.
00F9636	REWIRE, INC.
00F9844	MAX, INC.
00F9961	STILLHOUSE HOLLOW VENTURES LLC
00F9984	BEST COAST BARBER & CO.
00U0225	ADVANCED ORTHODONTICS
00U0385	VISTA ENERGY LP
00U0387	PROVENZA FLOORS
00U0405	CROFT VINEYARDS
00U1643	INOVENTURES, INC.
00U1879	S.P. WHOLESALE MEAT CO.
00U2225	FIRST COMMERICAL PROPERTY CORP.
00U2416	CASCADE ENVIROMENT GROUP
00U2417	CASCADE ENVIROMENT GROUP
00U3003	LAKE GROVE ENT PC
00U3329	TWO PENGUINS
00U3799	BIOHABITATS
00U4108	HILLSIDE/COLUMBIA FH
00U4140	BIOHABITATS
00U4142	BIOHABITATS
00U4183	ADP TOTALSOURCE
00U4413	CHILDREN FIRST FOR OREGON
00U4807	ADP TOTALSOURCE
00U4902	EVENT 360 INC.
00U5014	DENTON PLASTICS INC.
00U5064	DENTISTRY ON OFFICERS ROW
00U5160	AMERICAN PLANT FOOD
00U5187	CUSTOMTIEDOWNS.COM, INC.
00U5538	DEFINITION BRANDING
00U5818	TECH TALENT LINK
00U6183	AXIOM ECO-PEST CONTROL, LLC.
00U6216	WIRE WORKS, LLC.
00U6329	EVERGREEN MEMORIAL GARDENS
00U6530	TECHNIVORM-MOCCAMASTER USA
00U6646	CFMW LLC.
00U6647	CFMW LLC.
00U6757	IDRIVE INC.
00U6954	STARK STREET WEST, INC.
00U6955	STARK STREET WEST, INC.
00U7112	PLANET ARGON, LLC
00U7158	CONNECTIONS 365
00U7620	STERLING EDUCATION INC
00U7621	STERLING EDUCATION INC
00U7862	STARDUST MATERIALS
00U8098	COMPOSITES UNIVERSAL GROUP
00U8807	BOMAN INDUSTRIES
00U9016	TRU INDEPENDENCE LLC
00U9062	FORWARD MOTION
00U9122	GREEN GABLES DESIGN
00U9123	GREEN GABLES DESIGN
00U9210	T&I CONSTRUCTION, LLC.
00U9222	NETRUSH.COM
00U9236	NW EYE CARE PROFESSIONALS LLC.
00U9237	NW EYE CARE PROFESSIONALS LLC.
00U9238	NW EYE CARE PROFESSIONALS LLC.
00U9291	SAADGI MANAGEMENT, INC.
00U9339	QUALITY PRESS INC.
00U9486	GRAPE EXPECTATIONS INC
00U9898	CWIE HOLDING COMPANY
00W0435	METAVERSE MOD SQUAD, INC. DBA
00W0437	METAVERSE MOD SQUAD, INC. DBA
00W0439	MODSQUAD
00W0976	WALLACE, KLOR, MANN ET AL
00W1094	CANNON POWER
00W1095	CANNON POWER
00W1099	CANNON POWER
00W1149	UNIDEN FINANCIAL, INC.
00W1368	MRV SYSTEMS, LLC.
00W1480	CENTER FOR EXCELLENCE IN DER
00W1505	LAW OFFICES OF LOREN ETENGOFF
00W1551	DUCK POND CELLARS
00W1956	TAHZOO LLC.
00W2123	PRETTY GREAT
00W2751	BNI GLOBAL LLC
00W3092	GREYSTONE PROPERTIES
00W3093	GREYSTONE PROPERTIES
00W3534	RIGADO LLC.
00W3535	RIGADO LLC.
00W3538	RIGADO LLC.
00W4036	WATSERV USA
00W4052	ARCHER ENERGY SOLUTIONS
00W5426	BELMONT  CREATIVE LLC
00W5729	RIMON PC
00W5883	EMBEDDED DESIGNS INC.
00W6062	THE GORGE WHITE HOUSE
00W6124	KELLEHER HELMRICH & ASSOC.
00W6183	SAWSTOP LLC
00W6187	SAWSTOP LLC
00W6252	THE LOCAL PAGES INC.
00W6451	GLASS TO GLASS
00W6475	GLASS TO GLASS
00W6771	TICKET GUARDIAN
00W7019	JLE ENTERPRISES INC
00W7023	JLE ENTERPRISES INC
00W7880	CODEPEN
00W8109	SHIN-ET-SU MIRCOSI INC
00W8190	ALMA TECHNOLOGIES, INC
00W8668	ONE ENERGY LLC
00W9070	EVEN STEVENS
00W9273	HERMAN-ROBBINS, LLC
00W9792	ISOVOLTA INC.
00W9841	MULTITACTION AMERICAS, INC.
00X0566	US TENNIS ASSOCIATION PACNW
00X0788	ALTERNATIVE POWER SYSTEMS LLC
00X0958	MALLORIE'S LLC
00X0959	MALLORIE'S LLC
00X1247	UPHOLD
00X1253	CONTENTFUL INC
00X1380	M&W FIBERGLASS, INC.
00X1521	ENGINEERING ECEONOMICS, INC.
00X1568	ACE HOTEL PORTLAND
00X1583	AGING ADVISORS LLC
00X1692	SYNERGY BUSINESS SOLUTIONS
00X1804	EPIC MACHINES INC
00X1961	PLANB CONSULTANCY INTL
00X1962	PLANB CONSULTANCY INTL
00X1963	PLANB CONSULTANCY INTL
00X2519	PROLIANCE LLC
00X2523	ATTALA SYSTEMS
00X2586	ACE HOTEL PORTLAND
00X2705	NATIONAL BUILDERS HARDWARE
00X2706	NATIONAL BUILDERS HARDWARE
00X2707	NATIONAL BUILDERS HARDWARE
00X2777	PRP INC
00X3087	WEST COAST INSPECTORS SVC
00X3179	NORTH BEND LANES,  INC
00X3966	JAMES M ELLETT CONSTRUCTION
00X3968	JAMES M ELLETT CONSTRUCTION
00X4121	TERRA PACIFIC GROUP
00X4137	SHANDA ASSET MANAGEMENT LLC
00X4644	3K TECHNOLOGIES LLC
00X4677	BARLEY BEEF
00X4781	GREEN SAVOREE MID-OHIO
00X5021	CLASSIC EXHIBITS INC
00X5032	CLASSIC EXHIBITS INC
00X5085	UEA PINEMEADOW GOLF
00X5113	S&F LAND SERVICES
00X5214	GENESIS ADVISERS
00X5693	ENVIROMENTS
00X5701	ENVIROMENTS
00X6179	ROUXBE
00X6217	EXCEL MANAGED CARE
00X6485	CAPITAL KEYSTONE GROUP
00X6689	BDL PLUMBING LLC
00X6690	BDL PLUMBING LLC
00X6978	PAYCHEX
00X7212	BUNSOW DEMORY
00X7325	IMPLAN GROUP LLC
00X7510	CASCADE BRIDGE, LLC
00X7577	TITAN MANAGEMENT GROUP
00X7620	TITAN MANAGEMENT GROUP
00X7802	ACBL
00X8096	TREETOP COMMONS SOFTWARE LLC
00X8098	TREETOP COMMONS SOFTWARE LLC
00X8135	G&A THERMO KING NORTHWEST
00X8385	GARD COMMUNICATIONS
00X8816	WW TECHNOLOGY GROUP
00X9189	THE FOUNDRY VISIONMONGERS LTD
00X9594	TRUSS-T STRUCTURES
00X9597	TRUSS-T STRUCTURES
00Y0126	ALLEGIANT PARTNERS INC.
00Y0211	EAGLECAPSW
00Y0213	EAGLECAPSW
00Y0304	CENTRAL OREGON SEEDS, INC.
00Y0572	G&L EXTERIORS, INC
00Y0722	MAD FISH SEO, INC
00Y0927	PACIFIC CASCADE FCU
00Y1083	WILLAMETTE PRINT & BLUEPRINT
00Y1084	WILLAMETTE PRINT & BLUEPRINT
00Y1085	WILLAMETTE PRINT & BLUEPRINT
00Y1113	TALBOT, KORVOLA& WARWICK, LLP
00Y1114	TALBOT, KORVOLA& WARWICK, LLP
00Y1421	SOUTHEASTERN TANK
00Y1445	PORTLAND DIABETES&ENDOCRINOLO
00Y1446	PORTLAND DIABETES&ENDOCRINOLO
00Y1576	CROMULENCE, LLC
00Y1671	TAHOE CORPORATION
00Y1675	MCCARTHY LAW LLC
00Y1679	PRECISION DIESEL
00Y1715	LARAWAY AND SONS, INC.
00Y1842	ADP TOTALSOURCE
00Y1905	ADP TOTALSOURCE
00Y2369	BOB DRAKE REPRODUCTIONS
00Y2370	BOB DRAKE REPRODUCTIONS
00Y2443	WINSTON GROCERY OUTLET
00Y2444	WINSTON GROCERY OUTLET
00Y2458	GYPSY CHIC
00Y2492	COTTAGE GROVE GROCERY OUTLET
00Y2493	COTTAGE GROVE GROCERY OUTLET
00Y2573	TRAIL CHRISTIAN FELLOWSHIP
00Y2897	DILLANOS COFFEE ROASTERS INC
00Y3128	STUDIO MEGA LLC
00Y3262	INSITUTE FOR EQUITY
00Y3303	LEANPATH, INC
00Y3304	LEANPATH, INC
00Y3414	THE CIRCUIT, INC.
00Y3415	THE CIRCUIT, INC.
00Y3416	THE CIRCUIT, INC.
00Y3417	THE CIRCUIT, INC.
00Y3486	MT. ADAMS INSTITUTE
00Y3678	MT. ADAMS INSTITUTE
00Y3679	MEADOW OUTDOOR ADVERTISING
00Y3680	MEADOW OUTDOOR ADVERTISING
00Y3699	LAUGHLIN ASSOCIATES INC.
00Y3734	C&A INDUSTRIES, INC
00Y3740	OREGON RESOURCE ASSOCIATION
00Y4055	DOUBLE A LOGISTICS LLC
00Y4201	PANIC, INC.
00Y4220	COLUMBIAGRID
00Y4308	BACKYARD BIRD SHOP INC
00Y4309	BACKYARD BIRD SHOP INC
00Y4310	BACKYARD BIRD SHOP INC
00Y4311	MODERNIST FINANCIAL, LLC
00Y4537	TEAMLOGIC IT
00Y4539	COMPLETE DISTRIBUTION SERVICES
00Y4540	COMPLETE DISTRIBUTION SERVICES
00Y5009	ALLING HENNING ASSOCIATES INC.
00Y5458	INFORMATION TECH SOLUTIONS
00Y5553	BETTER BUSINESS FUNDING LLC
00Y5669	TRAILBLAZER STUDIOS NC, INC
00Y5680	HOOD TECH CORP., AERO INC.
00Y5703	THE DALLES COUNTRY CLUB
00Y5841	CORNERSTONE
00Y6007	PACIFIC FENCE AND WIRE CO
00Y6008	PACIFIC FENCE AND WIRE CO
00Y6143	BOYLE FAMILY FARMS LLC
00Y6170	VIATECHNIK
00Y6292	SENQCIA MAXCO LTD
00Y6404	KEATING JONES HUGHES, PC
00Y6481	WHITAKER FARMS LLC
00Y6482	WHITAKER FARMS LLC
00Y6755	SILVERADO FUNDING LLC
00Y6760	UEA-WHITTEIER WOOD PRODUCTS
00Y6799	BELL-ANDERSON AGENCY INC
00Y6884	TODD W ULMER MD PC
00Y6910	FARMER LUMPE+ MCCLELLAND, LLC
00Y6996	UEA-JD RINALDI FABRICATORS INC
00Y7130	OWEN EQUIPMENT COMPANY
00Y7131	OWEN EQUIPMENT COMPANY
00Y7167	CHEVALIER ADVERTISING, INC.
00Y7680	SV MANUFACTURING
00Y7681	SV MANUFACTURING
00Y7828	BARLOW TRAIL VETERINARY CLINIC
00Y7834	VAT INC
00Y8126	COMPASS GROUP
00Y8263	BRYANT PIPE & SUPPLY, INC.
00Y8264	BRYANT PIPE & SUPPLY, INC.
00Y8265	BRYANT PIPE & SUPPLY, INC.
00Y8266	BRYANT PIPE & SUPPLY, INC.
00Y8373	THIS PLAN IS ADMIN. BY ALL SAVERS
00Y8389	OPTOTECH TECHNOLOGIES INC
00Y8393	LEON DORICH, LLC
00Y8394	LEON DORICH, LLC
00Y8449	OPINONATED
00Y8495	OFS
00Y8514	COLUMBIA GORGE TITLE LLC
00Y8516	COLUMBIA GORGE TITLE LLC
00Y8856	SPORTS BASEMENT
00Y9040	SENZING
00Y9152	SURE FLOW
00Y9153	SURE FLOW
00Y9239	SUSAN MATLACK JONES&ASSO
00Y9240	SUSAN MATLACK JONES&ASSO
00Y9290	FARMERS CONSERVATION ALLIANCE
00Y9311	AZON USA
00Y9358	FERMENT BREWING COMPANY, LLC.
00Y9422	SNAP SOLUTIONS LLC
00Y9466	CHESLOCK OPTICAL
00Y9475	AGING ADVISORS LLC
00Y9507	SINGLEMIND CONSULTING, INC.
00Y9508	SINGLEMIND CONSULTING, INC.
00Y9780	KLEIBERIT ADHESIVES USA INC
00Y9859	CURRENT ELECTRICAL
018057	LOCKHEED RETIREES 5P8 20-40 LOCKHEED GR18 MEDICARE
01F0098	DNA STUDIOS, LLC
01F0297	US HOUSE OF REP- STAFF
01F0307	US HOUSE OF REP- STAFF
01F0308	US HOUSE OF REP- STAFF
01F0311	US HOUSE OF REP- STAFF
01F0385	US HOUSE OF REP- STAFF
01F0407	GABRIELLE D RICHARDS PC
01F0544	ANVIL MEDIA INC
01F0809	UNITED STATES SENATE
01F0816	UNITED STATES SENATE
01F0818	UNITED STATES SENATE
01F0823	UNITED STATES SENATE
01F0932	GSM MARKETING
01F1207	UPPRO USA
01F1402	MCCORMACK CONSTRUCTION
01F1444	WEST COAST SHOE COMPANY
01F1450	WEST COAST SHOE COMPANY
01F1758	GRS GROUP
01F1914	AVATA
01F2010	MEGMEET USA
01F2178	FISEC GLOBAL INC
01F2269	THE DODGE COMPANY
01F2508	SOCIALLY RESPONSIBLE
01F2509	ROUND UP CITY PLUMBING LLC
01F2510	ROUND UP CITY PLUMBING LLC
01F2679	AIDAN HEALTH SERVICES
01F2707	FAIRVIEW GARAGE DOORS LLC
01F2962	CLATSOP COMMUNITY BANK
01F3288	CYNTHIA'S OF BEND
01F3479	GRANDE RONDE RECOVERY
01F3789	WORD POWER LLC
01F3960	NICK TENNANT
01F4014	HEARTWISE INC
01F4015	HEARTWISE INC
01F4129	OPTCM
01F4190	TEITELMAN LAW
01F4191	TEITELMAN LAW
01F4323	KEIRTON USA INC
01F4484	TOEROEK ASSOCIATES INC
01F4486	TOEROEK ASSOCIATES INC
01F4540	SPANIOL'S INC
01F4632	ALPINE VETERINARY CLINIC
01F4677	LIVING ROOM REALTY
01F4678	LIVING ROOM REALTY
01F4679	LIVING ROOM REALTY
01F4680	LIVING ROOM REALTY
01F4951	B4C3BDHB1732S ADP TOTALSOURCE
01F4957	TARGETPATH
01F4958	TARGETPATH
01F5744	NORTHWEST ROOFING
01F5762	SILVER PINE SOFTWARE
01F5767	SUMMIT ORAL SURGERY & IMPLANTS
01F5917	TECHNOLOGY ASSOCIATES EC INC
01F5992	UEA-TUNNEL RADIO OF AMERICA
01F5998	UEA-TUNNEL RADIO OF AMERICA
01F6003	DISCHINGER ORTHODONTICS
01F6004	DISCHINGER ORTHODONTICS
01F6289	SHAW'S AUTO BODY INC.
01F6386	RENATA ANDERSON, M.A.
01F6390	ALL WEATHER GREENHOUSE
01F6445	PACIFIC TEST AND MEASUREMENT
01F6515	VERNS AND SON, INC.
01F6533	VERNS AND SON, INC.
01F6536	VERNS AND SON, INC.
01F6663	BAXTER PLANNING
01F6671	RESONANCE WINES, LLC
01F6720	SDB, INC.
01F7031	SUTTLE CARE AND RETIREMENT
01F7045	WICHE
01F7089	SPOON AND MOON LLC
01F7217	ZEFFERT & ASSOCIATES, INC.
01F7304	DUNNCARNEYALLENHIGGINS&TONGUE
01F7332	CLIFF A HOEFT
01F7395	SW WASHINGTON ACH
01F7461	CAPITAL M LENDING, LLC
01F7483	SEQUOIA CONSULTING GROUP
01F7735	CASCADE INTERNATIONAL FOODS
01F7827	TCI AMERICA
01F7838	TCI AMERICA
01F7871	LEMKEN USA, INC.
01F8042	SAWSTOP LLC
01F8265	RELATIONALAI INC
01F8658	R&C LOGGING, LLC
01F8701	GROTH-GATES SHEET METAL INC
01F8702	GROTH-GATES SHEET METAL INC
01F8703	GROTH-GATES SHEET METAL INC
01F9040	CLARKE'S SHEET METAL, INC.
01F9057	CLARKE'S SHEET METAL, INC.
01F9078	I WILL TEACH YOU TO BE RICH
01F9079	SOUTHWEST AIRLINES CO.
01F9381	QUINCY ENGINEERING, INC.
01F9382	QUINCY ENGINEERING, INC.
01F9425	BENEFIT EXPERTS
01F9506	DECA ARCHITECTURE, INC
01F9508	THE COMMERCE COMPANY
01F9509	THE COMMERCE COMPANY
01F9511	THE COMMERCE COMPANY
01F9512	THE COMMERCE COMPANY
01F9692	PERRIGO TIMBER LLC
01F9712	MOUNTAIN CREST COUNSELING
01F9741	LEGACY FORD LINCOLN
01F9758	LEGACY FORD LINCOLN
01F9767	PRIME SOFTWARE TECHNOLOGIES
01F9817	ALTA CIMA CORP
01F9831	ALTA CIMA CORP
01F9920	ELGIN ORTHODONTICS, LLC
01F9932	PERCH SECURITY
01G4067	TARGETPATH
01G8610	COMMUNITY INVESTORS, INC.
01G8688	OPENLOGIX CORPORATION
01G9023	JOHNSON LAIRD
01G9577	WINDSOR SOLUTIONS INC
01H3318	LAKE GROVE ENT PC
01H4576	NEWBERG VET HOSPITAL
01H5482	NATIONAL SHOE RETAILERS ASSOC
01H6049	INNOVATIVE ANESTHESIA MGMT LLC
01J8928	CENTRIC ELEVATOR CORPORATION
01K6792	ILLES FOOD INGREDIENTS LTD
01K8631	LIPHATECH INC
01M8104	TUALATIN VALLEY WATER DISTRICT
01M8677	MARIAN SHIPPING LTD.
01P7886	ALACRITY RENOVATION SVCS LLC
01S2343	HELICOPTER EXPRESS
01U0547	PREMIER RETIREMENT SERVICES
01U0635	IP3
01U0775	QS USA LTD
01U0842	QUINCUNX OF WASHINGTON
01U1272	DESIGN CENTER SOLUTIONS, INC.
01U1288	AEC INC.
01U1384	PETERSON & ASSOCIATES, PS
01U1420	PAYRANGE INC.
01U1421	PAYRANGE INC.
01U1537	9W3BDCA180S ADP TOTALSOURCE
01U2630	AEC INC.
01U2659	AEC INC.
01U2992	WISE CONNECT, INC
01U3807	GRAVITATE DESIGN STUDIO
01U4750	WHITE WHALE WEB SERVICES, INC.
01U4825	FUEL MEDICAL
01U4826	FUEL MEDICAL
01U4827	FUEL MEDICAL
01U4908	FULCRUM CONSTRUCTION
01U6790	ROOD INVESTMENTS, LLC
01U6950	ROOD INVESTMENTS, LLC
01U6951	0A5BFHZ182S ADP TOTALSOURCE
01U7298	NOVA MOLECULAR TECHNOLOGIES
01U7351	GLAXOSMITHKLINE
01U7818	TRANSPACIFIC FOOD
01U7823	ME SPA
01U8117	NEIGHBORHOOD PET CLINIC
01U8799	FORMOS
01U8873	MONTESSORI SCHOOL OF BEAVERTON
01U9443	ALLIANCE IT
01U9915	PATENAUDE & FELIX
01W0216	LEADPOINT BUSINESS SERVICES
01W3179	PINNACLE TRANSPLANT TECH
01W3193	AASG
01W3201	SUMMIT PROPERTIES
01W4639	STERLING CREEK VENTURES LLC
01W4670	RAVENBRICK LLC
01W5001	MONARCH
01W5850	ACTIVE MEDIA USA
01W5992	RHUBCHA175S ADP TOTALSOURCE
01W5993	RNUBEVA175S ADP TOTALSOURCE
01W6015	MORRIS, STARNS & SULLIVAN
01W6387	THREE PHASE ELECTRIC
01W6405	THREE PHASE ELECTRIC
01W6410	THREE PHASE ELECTRIC
01W6412	THREE PHASE ELECTRIC
01W6413	THREE PHASE ELECTRIC
01W6867	R A ROTH CONSTRUCTION
01W6868	R A ROTH CONSTRUCTION
01W6890	J SHELTON ASSOCIATES INC
01W7077	CURAYTOR LLC
01W8275	SPECTRUM REA
01W8321	NUKA ENTERPRISES, LLC
01W8557	DELIV, INC.
01W9014	ADVANCED BORING SPECIALISTS
01W9831	GONZALES LAW OFFICE
01X0252	ROPER PARTNER INC
01X0253	ROPER PARTNER INC
01X0256	ROPER PARTNER INC
01X0392	AEQUITAS ENTERPRISE SERVICES
01X0393	AEQUITAS ENTERPRISE SERVICES
01X0709	REDTEAL
01X0895	ADVANCED LOCKING SOLUTIONS INC
01X1024	KING CYCLE GROUP
01X1025	KING CYCLE GROUP
01X1027	KING CYCLE GROUP
01X1149	PROCARE SOFTWARE
01X1676	VISTING ANGELS GRESHAM
01X1677	CAYS INC
01X1686	COGNIZANT TECHNOLOGY SOLUTIONS
01X2153	VOLTEO
01X2339	C H URNESS MOTOR CO
01X2528	FRIENDSHIP FORCE INT'L
01X2575	SIGNATURE TRANSPORT
01X2583	SIGNATURE TRANSPORT
01X2731	ASMLLC
01X3066	FISHERMAN'S MARINE & OUTDOOR
01X3069	FISHERMAN'S MARINE & OUTDOOR
01X3075	FISHERMAN'S MARINE & OUTDOOR
01X3077	FISHERMAN'S MARINE & OUTDOOR
01X3098	FULL CIRCLE RESEARCH CO
01X3152	LBX COMPANY LLC
01X3526	STARLINE USA
01X3602	QUINN AND ASSOCIATES
01X3695	AFFINE INC
01X4088	LCG PENCE CONSTRUCTION
01X4137	LCG PENCE CONSTRUCTION
01X4143	LCG PENCE CONSTRUCTION
01X4198	KIVA LIGHTING
01X4279	TELCO CONNECTION
01X4300	J KYLE HOUSE DDS PC
01X4863	KOBI TOOLS INC
01X4864	KOBI TOOLS INC
01X5343	PFLAG INC.
01X5736	EXAVAULT, INC
01X5737	EXAVAULT, INC
01X6079	PALM FAMILY EYECARE
01X7135	S-ZBFIC157S ADP TOTALSOURCE
01X7832	ATS SYSTEMS, INC.
01Y0124	NATIONAL DISABILITY INSTITUTE
01Y0126	KEVEDY, INC
01Y0271	ENVIROMENTAL WORKS, LLC
01Y0272	ENVIROMENTAL WORKS, LLC
01Y0273	ENVIROMENTAL WORKS, LLC
01Y0641	FELLNER & KUHN, LLP
01Y0642	FELLNER & KUHN, LLP
01Y0684	FOLK TIME
01Y0685	FOLK TIME
01Y0690	RON BOWERS INC
01Y0857	INFINITY RESTORATION
01Y0996	IDISCIPLE
01Y1051	RON BOWERS INC
01Y1120	BROOKLYN PIZZA COMPANY,  LLC
01Y1272	UEA-HERBERT LUMBER CO
01Y1350	RON BOWERS INC
01Y1365	PROTOOLS
01Y1494	BRIDGETOWN HOMES, INC.
01Y1495	BRIDGETOWN HOMES, INC.
01Y1503	MUHLBAUER, INC
01Y1613	STRATEGYN LLC
01Y1989	IBUILDPDX COMPANY LLC
01Y1994	PROCARE SOFTWARE
01Y2059	HOOD RIVER DERMATOLOGY, INC.
01Y2440	REVER GRAND LLC
01Y2442	REVER GRAND LLC
01Y2444	WESTWIND GARDENS
01Y2454	EVERGREEN PEDIATRIC
01Y2511	808 AUTOMOTIVE
01Y2512	CLASSIC EXHIBITS INC
01Y2517	808 AUTOMOTIVE
01Y2519	CLASSIC EXHIBITS INC
01Y2636	TALCO INDUSTRIES INC
01Y2637	TALCO INDUSTRIES INC
01Y2699	ROSE PAPER PRODUCTS, INC.
01Y2825	ROSE PAPER PRODUCTS, INC.
01Y2828	ROSE PAPER PRODUCTS, INC.
01Y2829	ROSE PAPER PRODUCTS, INC.
01Y2833	SAFE T PROFESSIONALS LLC
01Y2968	PAYCHEX
01Y3044	UEA-VISION PLASTICS
01Y3058	UEA-VISION PLASTICS
01Y3062	UEA-SMITH SHEET METAL
01Y3063	UEA-SMITH SHEET METAL
01Y3417	SOCIAL CHORUS INC
01Y3533	HANDSOME PIZZA/SEASTAR BAKERY
01Y3534	HANDSOME PIZZA/SEASTAR BAKERY
01Y3562	EOSSB
01Y3573	WACHSAM CYBERSECURITY, INC.
01Y3681	EROAD
01Y3762	OAICU
01Y4305	VANCO CONTRACTING LLC
01Y4718	GIBS RVS INC
01Y4719	GIBS RVS INC
01Y4720	GIBS RVS INC
01Y4768	CASCADIA WOMENS CLINIC
01Y5058	TALENTSMART INC
01Y5378	STUMPTOWM TEST PREP
01Y5380	STUMPTOWM TEST PREP
01Y5408	ROGUE MECHANICAL INSULATION
01Y5478	KLARITY MEDICAL PRODUCTS
01Y5705	BOB'S METALS, INC
01Y5706	BOB'S METALS, INC
01Y5708	BOB'S METALS, INC
01Y5807	CHURCH RESOURCE MINISTRIES
01Y5808	CHURCH RESOURCE MINISTRIES
01Y5932	LANDINGS CREDIT UNION
01Y6121	BULK NATURAL, LLC.
01Y6122	BULK NATURAL, LLC.
01Y6556	A&J FARMS,INC
01Y6570	NATIONAL LAW CENTER
01Y6574	FLIR SYSTEMS, INC.
01Y6575	BROAD RIVER BENEFITS LLC
01Y6676	WEST WIND REINFORCING
01Y6699	PONTRELLI AGENCY LLC
01Y6711	ATTENSA CORPORATION
01Y7070	WILLOWWOOD USA
01Y7119	VISIONS LLC
01Y7290	MARQUIS SOFTWARE SOLUTIONS INC
01Y7432	OXBO INC
01Y7477	UEA-BUILDING MATERIAL SPEC
01Y7844	THE MUSCLE TRAIN LLC
01Y7845	THE MUSCLE TRAIN LLC
01Y7961	NXQ3BCNU165S ADP TOTALSOURCE
